logRET,logVOL,seg,logNDC,logTHRES
0.0018871882053728643,0.0004656964675397861,8.0,3.7585095727150124,-6.907755278982137
0.0018871882053728643,0.0004656964675397861,8.0,3.7291913584009233,-6.870386132474173
0.0018871882053728643,0.0004656964675397861,8.0,3.6961240647703866,-6.834363280224791
0.001998644753221637,0.0004649763580346331,9.0,3.659569624860109,-6.799593080483073
0.001998644753221637,0.0004649763580346331,9.0,3.630642417992003,-6.765991333936305
0.001998644753221637,0.0004649763580346331,9.0,3.590906369373505,-6.733482055371011
0.001998644753221637,0.0004649763580346331,9.0,3.5679040773585795,-6.701996438797444
0.0021104947536051237,0.0004652027990848517,10.0,3.530920069546972,-6.671471980586798
0.0021104947536051237,0.0004652027990848517,10.0,3.5018055871040357,-6.641851732525087
0.0021104947536051237,0.0004652027990848517,10.0,3.473178259155852,-6.613083662348644
0.0022608440694515597,0.00046524078499506956,11.0,3.4461225006272325,-6.585120103719997
0.0022608440694515597,0.00046524078499506956,11.0,3.42235315392527,-6.557917281039936
0.0022608440694515597,0.00046524078499506956,11.0,3.395203357721945,-6.531434897200136
0.002306193162786143,0.00046575082742311415,12.0,3.361509095734344,-6.505635774529895
0.002306193162786143,0.00046575082742311415,12.0,3.332773500233229,-6.48048554090712
0.002306193162786143,0.00046575082742311415,12.0,3.307718193891082,-6.455952354383248
0.002418481159368728,0.00046516216453207745,13.0,3.283513942639488,-6.432006660786894
0.002418481159368728,0.00046516216453207745,13.0,3.254258351072685,-6.408620979677476
0.002418481159368728,0.00046516216453207745,13.0,3.224438016403475,-6.385769714760707
0.0023958478779490485,0.0004652402909194517,14.0,3.1969642022957125,-6.363428985486102
0.0023958478779490485,0.0004652402909194517,14.0,3.1722267931326784,-6.341576477048479
0.0023958478779490485,0.0004652402909194517,14.0,3.151304821955792,-6.3201913064314565
0.0025963800355913976,0.00046513037341282097,15.0,3.1238205926416613,-6.299253902477191
0.0025963800355913976,0.00046513037341282097,15.0,3.1011326290556505,-6.278745898256064
0.0027010546187836593,0.00046543220783958647,16.0,3.0824946155529176,-6.258650034252925
0.0027010546187836593,0.00046543220783958647,16.0,3.0524589873191594,-6.2389500710911205
0.0027010546187836593,0.00046543220783958647,16.0,3.0363311356123286,-6.219630710688484
0.002795704968928948,0.0004652670240732593,17.0,3.0080072247483254,-6.200677524886245
0.002795704968928948,0.0004652670240732593,17.0,2.9873305437957534,-6.182076890716695
0.002826794466035741,0.0004649168719869085,18.0,2.9585970336911993,-6.163815931582087
0.002826794466035741,0.0004649168719869085,18.0,2.9366502859664934,-6.1458824637086105
0.002826794466035741,0.0004649168719869085,18.0,2.9144271491817832,-6.128264947317768
0.002938134393159816,0.00046466479275245444,19.0,2.9002826417956187,-6.1109524420250185
0.002938134393159816,0.00046466479275245444,19.0,2.874307155392358,-6.0939345660340205
0.002959654578836389,0.0004649303193122037,20.0,2.8501766879626667,-6.077201458745316
0.002959654578836389,0.0004649303193122037,20.0,2.8292213227866787,-6.060743746442273
0.0029293148070508573,0.0004650394362467587,21.0,2.809978538749013,-6.044552510755269
0.0029293148070508573,0.0004650394362467587,21.0,2.7910917787976146,-6.028619259638503
0.0029293148070508573,0.0004650394362467587,21.0,2.7683466697150343,-6.012935900622951
0.0031617345482542235,0.00046505025611515133,22.0,2.749668691084725,-5.9974947161345735
0.0031617345482542235,0.00046505025611515133,22.0,2.7327104224058347,-5.982288340689308
0.0031418800555672774,0.00046496382733493346,23.0,2.712290864759149,-5.967309739796176
0.0031418800555672774,0.00046496382733493346,23.0,2.6971006992651736,-5.952552190417212
0.0032040053147743574,0.0004660036070566387,24.0,2.6778510876634987,-5.938009262848393
0.0032040053147743574,0.0004660036070566387,24.0,2.659618538400499,-5.9236748038993055
0.0033469114991561653,0.0004648497706829997,25.0,2.6336357155361267,-5.909542921261435
0.0033469114991561653,0.0004648497706829997,25.0,2.6166103439723623,-5.895607968965685
0.0033469114991561653,0.0004648497706829997,25.0,2.5998821475825062,-5.881864533839291
0.0032916321342308457,0.0004649914441318267,26.0,2.5798545763733665,-5.868307422880842
0.0032916321342308457,0.0004649914441318267,26.0,2.5655621025787476,-5.854931651479703
0.0033709434397435453,0.0004649209645284417,27.0,2.549818607165674,-5.841732432412973
0.0033709434397435453,0.0004649209645284417,27.0,2.5376099721950083,-5.828705165559195
0.0036940969426710545,0.00046522505104878455,28.0,2.5214165718277926,-5.815845428273501
0.0036940969426710545,0.00046522505104878455,28.0,2.5030022249824677,-5.803148966373817
0.0035136897960307786,0.0004649384940841046,29.0,2.489874369889935,-5.790611685692143
0.0035136897960307786,0.0004649384940841046,29.0,2.4722101878883165,-5.778229644148934
0.003541173899214217,0.0004648216071646986,30.0,2.454228363255957,-5.765999044312179
0.003541173899214217,0.0004648216071646986,30.0,2.4338230209846126,-5.753916226406057
0.0036485081880798477,0.00046482510900438704,31.0,2.415842631774748,-5.741977661736941
0.0036485081880798477,0.00046482510900438704,31.0,2.4015106057311946,-5.730179946507226
0.0036963805639541876,0.0004655536811146002,32.0,2.382934220158259,-5.718519795989826
0.0036963805639541876,0.0004655536811146002,32.0,2.3677459304128248,-5.706994039038415
0.0036561005156414282,0.0004646974423344362,33.0,2.3587469945442554,-5.6955996129104465
0.0036561005156414282,0.0004646974423344362,33.0,2.344330963398362,-5.684333558381807
0.00370263907512608,0.0004651532571194877,34.0,2.3265972681341056,-5.673193015133616
0.00370263907512608,0.0004651532571194877,34.0,2.3144664208807986,-5.662175217393169
0.0037844749213121133,0.0004650802421490236,35.0,2.29538794077556,-5.651277489812421
